@RELATION Leaf_Classification

@ATTRIBUTE Contrast numeric
@ATTRIBUTE Homogeneity numeric
@ATTRIBUTE ASM numeric
@ATTRIBUTE Dissimilarity numeric
@ATTRIBUTE Energy numeric
@ATTRIBUTE class {Aguacate,Guaycacan,Coralillo}

@DATA
687459,4773472.07647,2604118536,517845,51030.5647235,Aguacate
1626998,4566705.14697,1200685352,987560,34650.9069434,Aguacate
1476633,4607640.99525,2361259026,903973,48592.7877982,Aguacate
78606716,1965636.95402,2209593488,11548572,47006.3132781,Aguacate
1676452,4447347.77732,2465847516,1219836,49657.3007321,Aguacate
1803706,4518144.57261,3507465658,1092526,59223.8605462,Aguacate
5343375,3988037.93015,2732657664,2379791,52274.8282063,Aguacate
865394,4680107.66244,4223292664,703000,64986.8653191,Aguacate
637701,4756163.38235,2955401922,538537,54363.6084343,Aguacate
2099646,4438547.95674,2418460290,1265032,49177.8434867,Aguacate
141858423,1402255.77879,4218969862,17229845,64953.5977602,Aguacate
786368,4704119.82805,3256487734,649800,57065.6440777,Aguacate
653221,4749149.71176,4152419784,552815,64439.2720629,Aguacate
2611337,4307475.02883,548145180,1551133,23412.5005072,Aguacate
28061042,2470563.69287,2155477112,7352570,46427.1161284,Aguacate
1551655,4395993.91309,2436218108,1289727,49358.0602131,Aguacate
1618936,4374707.41514,1730867882,1336982,41603.7003402,Aguacate
3553619,4096150.29658,1557424412,2023917,39464.2168553,Aguacate
318718469,986241.009269,3880461388,28013117,62293.3494685,Aguacate
1420784,4414682.83077,1472293552,1237722,38370.4776097,Aguacate
999550,4588211.87059,2713905918,878718,52095.1621362,Aguacate
1327001,4615399.40399,2395111686,873053,48939.8782794,Aguacate
714650,4785430.25068,3877876580,501102,62272.5989501,Aguacate
475274,4839541.47059,850066250,372508,29155.8956302,Aguacate
432848,4843533.2,271711250,358786,16483.6661577,Aguacate
1361342,4605545.18624,3103878558,894302,55712.4632196,Aguacate
760550,4773144.63439,279252156,528786,16710.8394762,Aguacate
499869,4833363.40588,3111898070,386899,55784.3891246,Aguacate
453555,4837733.7,3519534120,371903,59325.6615639,Aguacate
1427004,4586478.06518,1339500442,935408,36599.1863571,Aguacate
901116,4733257.68517,1371687032,616802,37036.2934431,Aguacate
650288,4787203.65792,3256608334,488474,57066.7007457,Aguacate
634671,4774103.48824,3848010820,508041,62032.3368897,Aguacate
1539549,4554128.76506,3182710312,1005291,56415.5148164,Aguacate
1418150,4594071.42042,855324546,923560,29245.9321274,Aguacate
84936876,1893346.85024,728138114,12281336,26984.0344278,Aguacate
1606286,4425883.29504,383145118,1246218,19574.0930314,Aguacate
1724795,4501712.88391,4228514314,1118833,65027.0275655,Aguacate
5330970,3935833.42623,2512838518,2492014,50128.2207743,Aguacate
822776,4674515.74118,2705169672,705402,52011.2456302,Aguacate
600432,4753950.0,3289077628,536022,57350.4806257,Aguacate
2039219,4415928.59724,1900331764,1305925,43592.7948634,Aguacate
158334655,1349089.77938,3145890628,18288579,56088.2396586,Aguacate
743657,4701188.58235,212127340,647825,14564.5919957,Aguacate
616020,4748017.2,158132562,548508,12575.0770177,Aguacate
2587602,4278236.6982,3511354680,1610378,59256.6846862,Aguacate
29725373,2393472.64154,3844858982,7741961,62006.9268872,Aguacate
1503614,4380356.09884,1152433632,1308340,33947.5128986,Aguacate
1608464,4352427.26575,4059546776,1372638,63714.572713,Aguacate
3615716,4057980.27277,1695895172,2111728,41181.2478199,Aguacate
348817019,967741.961686,298692034,29296551,17282.7091048,Aguacate
1384926,4402458.48841,2290391964,1252370,47858.0397008,Aguacate
977601,4578252.08824,1464476444,891711,38268.4784647,Aguacate
1394318,4608516.46364,3661570802,891706,60510.9147345,Aguacate
783514,4773698.1052,2694443066,530580,51908.0250636,Aguacate
536930,4826045.63529,4064624660,405170,63754.4089456,Aguacate
487548,4830181.2,3481675262,390156,59005.7222818,Aguacate
1428441,4598985.2094,4145676468,912353,64386.9277726,Aguacate
827557,4762286.66576,4209843408,556303,64883.306081,Aguacate
561388,4819796.8,908774436,419614,30145.8858885,Aguacate
507920,4824294.8,1470508934,403362,38347.2154661,Aguacate
1493600,4580677.933,1604573110,952014,40057.1230869,Aguacate
963225,4724668.96537,565847832,639463,23787.5562427,Aguacate
698619,4776792.94344,3893121444,513733,62394.8831556,Aguacate
